"source","target","ligand","receptor","prob","pval","interaction_name","interaction_name_2","pathway_name","annotation","evidence"
"CAF","Malignant","COL4A1","ITGA3_ITGB1",0.000275760775389763,0,"COL4A1_ITGA3_ITGB1","COL4A1 - (ITGA3+ITGB1)","COLLAGEN","ECM-Receptor","KEGG: hsa04512"
"CAF","Malignant","COL4A2","ITGA3_ITGB1",0.000490136253751393,0,"COL4A2_ITGA3_ITGB1","COL4A2 - (ITGA3+ITGB1)","COLLAGEN","ECM-Receptor","KEGG: hsa04512"
"Malignant","Malignant","COL6A1","ITGA3_ITGB1",0.000444206391367502,0,"COL6A1_ITGA3_ITGB1","COL6A1 - (ITGA3+ITGB1)","COLLAGEN","ECM-Receptor","KEGG: hsa04512"
"CAF","Malignant","COL6A3","ITGA3_ITGB1",0.000275760775389763,0,"COL6A3_ITGA3_ITGB1","COL6A3 - (ITGA3+ITGB1)","COLLAGEN","ECM-Receptor","KEGG: hsa04512"
"Malignant","Malignant","COL9A2","ITGA3_ITGB1",0.00041358413794336,0.01,"COL9A2_ITGA3_ITGB1","COL9A2 - (ITGA3+ITGB1)","COLLAGEN","ECM-Receptor","KEGG: hsa04512"
"CAF","Malignant","FN1","ITGAV_ITGB1",0.000809114277291069,0,"FN1_ITGAV_ITGB1","FN1 - (ITGAV+ITGB1)","FN1","ECM-Receptor","KEGG: hsa04512"
"CAF","Malignant","FN1","ITGAV_ITGB6",0.00125291770172639,0,"FN1_ITGAV_ITGB6","FN1 - (ITGAV+ITGB6)","FN1","ECM-Receptor","KEGG: hsa04512"
"CAF","Malignant","FN1","ITGAV_ITGB8",0.00125291770172639,0,"FN1_ITGAV_ITGB8","FN1 - (ITGAV+ITGB8)","FN1","ECM-Receptor","KEGG: hsa04512"
"CAF","Malignant","COL1A1","ITGAV_ITGB8",0.0083312845536124,0,"COL1A1_ITGAV_ITGB8","COL1A1 - (ITGAV+ITGB8)","COLLAGEN","ECM-Receptor","KEGG: hsa04512"
"CAF","Malignant","COL1A2","ITGAV_ITGB8",0.00178351053618886,0,"COL1A2_ITGAV_ITGB8","COL1A2 - (ITGAV+ITGB8)","COLLAGEN","ECM-Receptor","KEGG: hsa04512"
"CAF","Malignant","COL4A1","ITGAV_ITGB8",0.00034201647756103,0,"COL4A1_ITGAV_ITGB8","COL4A1 - (ITGAV+ITGB8)","COLLAGEN","ECM-Receptor","KEGG: hsa04512"
"CAF","Malignant","COL4A2","ITGAV_ITGB8",0.000607867592871769,0,"COL4A2_ITGAV_ITGB8","COL4A2 - (ITGAV+ITGB8)","COLLAGEN","ECM-Receptor","KEGG: hsa04512"
"Malignant","Malignant","COL6A1","ITGAV_ITGB8",0.00055091140115135,0,"COL6A1_ITGAV_ITGB8","COL6A1 - (ITGAV+ITGB8)","COLLAGEN","ECM-Receptor","KEGG: hsa04512"
"CAF","Malignant","COL6A3","ITGAV_ITGB8",0.00034201647756103,0,"COL6A3_ITGAV_ITGB8","COL6A3 - (ITGAV+ITGB8)","COLLAGEN","ECM-Receptor","KEGG: hsa04512"
"Malignant","Malignant","COL9A2","ITGAV_ITGB8",0.000512936999888589,0,"COL9A2_ITGAV_ITGB8","COL9A2 - (ITGAV+ITGB8)","COLLAGEN","ECM-Receptor","KEGG: hsa04512"
"CAF","Malignant","FN1","CD44",0.00238442438812911,0,"FN1_CD44","FN1 - CD44","FN1","ECM-Receptor","KEGG: hsa04512"
"CAF","Malignant","COL1A1","CD44",0.0157544100683058,0,"COL1A1_CD44","COL1A1 - CD44","COLLAGEN","ECM-Receptor","KEGG: hsa04512"
"CAF","Malignant","COL1A2","CD44",0.00339256653892593,0,"COL1A2_CD44","COL1A2 - CD44","COLLAGEN","ECM-Receptor","KEGG: hsa04512"
"CAF","Malignant","COL4A1","CD44",0.000651427217813573,0,"COL4A1_CD44","COL4A1 - CD44","COLLAGEN","ECM-Receptor","KEGG: hsa04512"
"CAF","Malignant","COL4A2","CD44",0.00115750636299663,0,"COL4A2_CD44","COL4A2 - CD44","COLLAGEN","ECM-Receptor","KEGG: hsa04512"
"Malignant","Malignant","COL6A1","CD44",0.00104910398626627,0,"COL6A1_CD44","COL6A1 - CD44","COLLAGEN","ECM-Receptor","KEGG: hsa04512"
"CAF","Malignant","COL6A3","CD44",0.000651427217813573,0,"COL6A3_CD44","COL6A3 - CD44","COLLAGEN","ECM-Receptor","KEGG: hsa04512"
"Malignant","Malignant","COL9A2","CD44",0.000976822662285765,0,"COL9A2_CD44","COL9A2 - CD44","COLLAGEN","ECM-Receptor","KEGG: hsa04512"
"CAF","Malignant","THBS1","CD47",0.000153611516474835,0,"THBS1_CD47","THBS1 - CD47","THBS","ECM-Receptor","KEGG: hsa04512"
"CAF","Malignant","THBS2","CD47",0.000245755775809294,0,"THBS2_CD47","THBS2 - CD47","THBS","ECM-Receptor","KEGG: hsa04512"
"Malignant","Malignant","APP","CD74",0.00186209540500575,0,"APP_CD74","APP - CD74","APP","Cell-Cell Contact","PMID: 19849849"
"Malignant","Malignant","CDH1","CDH1",0.00058018445259213,0.01,"CDH1_CDH1","CDH1 - CDH1","CDH","Cell-Cell Contact","KEGG: hsa04514"
"Malignant","Malignant","CLEC2D","KLRB1",3.07260791986639e-05,0,"CLEC2D_KLRB1","CLEC2D - KLRB1","CLEC","Cell-Cell Contact","PMID: 24223577"
"Malignant","Malignant","CLEC2B","KLRB1",1.31685508668199e-05,0,"CLEC2B_KLRB1","CLEC2B - KLRB1","CLEC","Cell-Cell Contact","PMID: 24223577"
"Malignant","Malignant","EFNA1","EPHA2",0.000241368339056689,0,"EFNA1_EPHA2","EFNA1 - EPHA2","EPHA","Cell-Cell Contact","PMID: 15114347"
"Malignant","Malignant","HLA-A","CD8A",0.000752245771633097,0,"HLA-A_CD8A","HLA-A - CD8A","MHC-I","Cell-Cell Contact","KEGG: hsa04514"
"Malignant","Malignant","HLA-B","CD8A",0.000828941914855823,0,"HLA-B_CD8A","HLA-B - CD8A","MHC-I","Cell-Cell Contact","KEGG: hsa04514"
"Malignant","Malignant","HLA-C","CD8A",0.000836610881643134,0,"HLA-C_CD8A","HLA-C - CD8A","MHC-I","Cell-Cell Contact","KEGG: hsa04514"
"Malignant","Malignant","HLA-DPA1","CD4",3.07260791986639e-05,0,"HLA-DPA1_CD4","HLA-DPA1 - CD4","MHC-II","Cell-Cell Contact","KEGG: hsa04514"
"Malignant","Malignant","HLA-DQA1","CD4",2.4142078325681e-05,0,"HLA-DQA1_CD4","HLA-DQA1 - CD4","MHC-II","Cell-Cell Contact","KEGG: hsa04514"
"Malignant","Malignant","HLA-DQB1","CD4",5.04775616265187e-05,0,"HLA-DQB1_CD4","HLA-DQB1 - CD4","MHC-II","Cell-Cell Contact","KEGG: hsa04514"
"Malignant","Malignant","HLA-DRA","CD4",2.4142078325681e-05,0,"HLA-DRA_CD4","HLA-DRA - CD4","MHC-II","Cell-Cell Contact","KEGG: hsa04514"
"Malignant","Malignant","HLA-DRB1","CD4",8.339496513871e-05,0,"HLA-DRB1_CD4","HLA-DRB1 - CD4","MHC-II","Cell-Cell Contact","KEGG: hsa04514"
"Malignant","Malignant","HLA-DRB5","CD4",7.24227381062112e-05,0,"HLA-DRB5_CD4","HLA-DRB5 - CD4","MHC-II","Cell-Cell Contact","KEGG: hsa04514"
