"","ID","Description","GeneRatio","BgRatio","pvalue","p.adjust","qvalue","geneID","Count"
"GO:0050863","GO:0050863","regulation of T cell activation","27/72","376/18903",9.48260352502983e-28,2.31289320524137e-25,1.06985545990528e-25,"IGF1/IL7/IL10/IL1A/IL1B/CD70/TNFSF4/CD40LG/KITLG/LGALS9/EFNB1/EFNB2/ICOSLG/HLA-A/HLA-E/HLA-DPA1/HLA-DQA1/HLA-DQB1/HLA-DRA/HLA-DRB1/HLA-DRB5/CCR2/CD27/CD74/ICOS/KLRK1/CD4",27
"GO:0070665","GO:0070665","positive regulation of leukocyte proliferation","19/72","167/18903",2.61930162395739e-23,5.85632188089806e-21,2.70890931109277e-21,"IGF1/IL7/IL1A/IL1B/CD70/TNFSF4/CD40LG/KITLG/LGALS9/EFNB1/ICOSLG/HLA-A/HLA-E/HLA-DPA1/CCR2/TNFRSF4/KIT/CD74/CD40",19
"GO:0043410","GO:0043410","positive regulation of MAPK cascade","26/72","496/18903",3.68495640209529e-23,7.60518309755512e-21,3.51786526159542e-21,"TGFB2/EGF/IGF1/CCL7/IL1A/IL1B/KITLG/LGALS9/THBS1/APP/EFNA1/ICAM1/HLA-DRB1/FZD4/FZD7/FZD8/EGFR/CD27/CD44/KIT/CD36/CD74/CD40/CD4/NOTCH1/NOTCH2",26
"GO:0050671","GO:0050671","positive regulation of lymphocyte proliferation","18/72","146/18903",9.46180652005003e-23,1.8132876352353e-20,8.38757134371352e-21,"IGF1/IL7/IL1A/IL1B/CD70/TNFSF4/CD40LG/KITLG/LGALS9/EFNB1/ICOSLG/HLA-A/HLA-E/HLA-DPA1/CCR2/TNFRSF4/CD74/CD40",18
"GO:0032946","GO:0032946","positive regulation of mononuclear cell proliferation","18/72","149/18903",1.38478159791074e-22,2.47691268479635e-20,1.14572456416615e-20,"IGF1/IL7/IL1A/IL1B/CD70/TNFSF4/CD40LG/KITLG/LGALS9/EFNB1/ICOSLG/HLA-A/HLA-E/HLA-DPA1/CCR2/TNFRSF4/CD74/CD40",18
"GO:0002443","GO:0002443","leukocyte mediated immunity","25/72","463/18903",1.47785495961908e-22,2.47817803541125e-20,1.14630986670454e-20,"IL10/IL1B/CD70/TNFSF4/CD40LG/LGALS9/ICAM1/ITGB2/HLA-A/HLA-B/HLA-E/HLA-DPA1/HLA-DQA1/HLA-DQB1/HLA-DRA/HLA-DRB1/HLA-DRB5/JAG1/CCR2/CD27/KIT/CD74/CD40/CD8A/KLRK1",25
"GO:0070663","GO:0070663","regulation of leukocyte proliferation","21/72","269/18903",3.04004209789814e-22,4.7979017345063e-20,2.21932485041604e-20,"IGF1/IL7/IL10/IL1A/IL1B/CD70/TNFSF4/CD40LG/KITLG/LGALS9/EFNB1/ICOSLG/HLA-A/HLA-E/HLA-DPA1/HLA-DRB1/CCR2/TNFRSF4/KIT/CD74/CD40",21
"GO:0002449","GO:0002449","lymphocyte mediated immunity","23/72","367/18903",3.48804923600538e-22,5.19913116677912e-20,2.40491815745634e-20,"IL10/IL1B/CD70/TNFSF4/CD40LG/LGALS9/ICAM1/HLA-A/HLA-B/HLA-E/HLA-DPA1/HLA-DQA1/HLA-DQB1/HLA-DRA/HLA-DRB1/HLA-DRB5/JAG1/CCR2/CD27/CD74/CD40/CD8A/KLRK1",23
"GO:0002460","GO:0002460","adaptive immune response based on somatic recombination of immune receptors built from immunoglobulin superfamily domains","23/72","375/18903",5.69962267503816e-22,8.04846717743546e-20,3.72291143150692e-20,"IL10/IL1B/CD70/TNFSF4/CD40LG/ICAM1/HLA-A/HLA-B/HLA-E/HLA-DPA1/HLA-DQA1/HLA-DQB1/HLA-DRA/HLA-DRB1/HLA-DRB5/JAG1/CCR2/CD27/CD74/CD40/CD8A/CD4/NOTCH1",23
"GO:0050670","GO:0050670","regulation of lymphocyte proliferation","20/72","239/18903",8.50933659922793e-22,1.14152750478643e-19,5.28026728973143e-20,"IGF1/IL7/IL10/IL1A/IL1B/CD70/TNFSF4/CD40LG/KITLG/LGALS9/EFNB1/ICOSLG/HLA-A/HLA-E/HLA-DPA1/HLA-DRB1/CCR2/TNFRSF4/CD74/CD40",20
"GO:0032944","GO:0032944","regulation of mononuclear cell proliferation","20/72","243/18903",1.18977734339687e-21,1.52008219634943e-19,7.03131572864615e-20,"IGF1/IL7/IL10/IL1A/IL1B/CD70/TNFSF4/CD40LG/KITLG/LGALS9/EFNB1/ICOSLG/HLA-A/HLA-E/HLA-DPA1/HLA-DRB1/CCR2/TNFRSF4/CD74/CD40",20
"GO:0070661","GO:0070661","leukocyte proliferation","21/72","348/18903",6.63945271645057e-20,8.09711438101676e-18,3.74541375727044e-18,"IGF1/IL7/IL10/IL1A/IL1B/CD70/TNFSF4/CD40LG/KITLG/LGALS9/EFNB1/ICOSLG/HLA-A/HLA-E/HLA-DPA1/HLA-DRB1/CCR2/TNFRSF4/KIT/CD74/CD40",21
"GO:0046651","GO:0046651","lymphocyte proliferation","20/72","305/18903",1.12294231521389e-19,1.30993662248646e-17,6.05926311046761e-18,"IGF1/IL7/IL10/IL1A/IL1B/CD70/TNFSF4/CD40LG/KITLG/LGALS9/EFNB1/ICOSLG/HLA-A/HLA-E/HLA-DPA1/HLA-DRB1/CCR2/TNFRSF4/CD74/CD40",20
"GO:0032943","GO:0032943","mononuclear cell proliferation","20/72","312/18903",1.76077639357277e-19,1.96840127664822e-17,9.10506740360654e-18,"IGF1/IL7/IL10/IL1A/IL1B/CD70/TNFSF4/CD40LG/KITLG/LGALS9/EFNB1/ICOSLG/HLA-A/HLA-E/HLA-DPA1/HLA-DRB1/CCR2/TNFRSF4/CD74/CD40",20
"GO:0042102","GO:0042102","positive regulation of T cell proliferation","14/72","106/18903",2.85588468374678e-18,2.98806165841178e-16,1.38216242433548e-16,"IGF1/IL1A/IL1B/CD70/TNFSF4/CD40LG/KITLG/LGALS9/EFNB1/ICOSLG/HLA-A/HLA-E/HLA-DPA1/CCR2",14
"GO:0042098","GO:0042098","T cell proliferation","17/72","212/18903",2.89562441739494e-18,2.98806165841178e-16,1.38216242433548e-16,"IGF1/IL10/IL1A/IL1B/CD70/TNFSF4/CD40LG/KITLG/LGALS9/EFNB1/ICOSLG/HLA-A/HLA-E/HLA-DPA1/HLA-DRB1/CCR2/TNFRSF4",17
"GO:0019882","GO:0019882","antigen processing and presentation","14/72","108/18903",3.75349722168107e-18,3.72986409102604e-16,1.72529170540428e-16,"THBS1/ICAM1/HLA-A/HLA-B/HLA-C/HLA-E/HLA-DPA1/HLA-DQA1/HLA-DQB1/HLA-DRA/HLA-DRB1/HLA-DRB5/CD74/CD8A",14
"GO:0042129","GO:0042129","regulation of T cell proliferation","16/72","182/18903",7.1935190204647e-18,6.89293268996671e-16,3.18840561095033e-16,"IGF1/IL10/IL1A/IL1B/CD70/TNFSF4/CD40LG/KITLG/LGALS9/EFNB1/ICOSLG/HLA-A/HLA-E/HLA-DPA1/HLA-DRB1/CCR2",16
"GO:0002697","GO:0002697","regulation of immune effector process","20/72","379/18903",8.06261438507519e-18,7.45930841212302e-16,3.45038924138064e-16,"TGFB2/IL10/IL1B/TNFSF4/CD40LG/LGALS9/ICAM1/ITGB2/HLA-A/HLA-B/HLA-E/HLA-DRA/HLA-DRB1/CCR2/TNFRSF4/KIT/CD36/CD74/CD40/KLRK1",20
"GO:0002440","GO:0002440","production of molecular mediator of immune response","19/72","333/18903",1.42368194949231e-17,1.27324622349596e-15,5.88954743316293e-16,"TGFB2/IL10/IL1B/TNFSF4/CD40LG/HLA-A/HLA-E/HLA-DPA1/HLA-DQA1/HLA-DQB1/HLA-DRA/HLA-DRB1/HLA-DRB5/CCR2/TNFRSF4/KIT/CD36/CD74/CD40",19
"GO:0001819","GO:0001819","positive regulation of cytokine production","21/72","486/18903",6.13521629132713e-17,5.30993074504216e-15,2.45616978182502e-15,"WNT11/IL7/IL10/IL1A/IL1B/IL17B/TNFSF4/CD40LG/LGALS9/THBS1/APP/HLA-A/HLA-E/HLA-DPA1/CCR2/KIT/CD36/CD74/CD40/KLRK1/CD4",21
"GO:0033674","GO:0033674","positive regulation of kinase activity","21/72","496/18903",9.24745829573259e-17,7.75341581482829e-15,3.58643201666734e-15,"TGFB2/WNT11/EGF/IGF1/IL1B/CD40LG/KITLG/THBS1/EFNA1/EFNA5/HLA-DRB1/FZD4/FZD8/EGFR/KIT/CD74/CD40/EPHA2/EPHA3/EPHB4/CD4",21
"GO:0002699","GO:0002699","positive regulation of immune effector process","17/72","261/18903",9.83280902080803e-17,7.99437169782665e-15,3.69788894275364e-15,"IL10/IL1B/TNFSF4/LGALS9/ITGB2/HLA-A/HLA-B/HLA-E/HLA-DRA/HLA-DRB1/CCR2/TNFRSF4/KIT/CD36/CD74/CD40/KLRK1",17
"GO:0070371","GO:0070371","ERK1 and ERK2 cascade","18/72","340/18903",4.25693089657478e-16,3.3592192927971e-14,1.5538456740129e-14,"EGF/IGF1/CCL7/IL1A/IL1B/LGALS9/FN1/APP/ICAM1/HLA-DRB1/EGFR/CD44/CD36/CD74/EPHA2/CD4/NOTCH1/NOTCH2",18
"GO:0048002","GO:0048002","antigen processing and presentation of peptide antigen","11/72","64/18903",6.98193122044298e-16,5.35214898984243e-14,2.47569831846685e-14,"HLA-A/HLA-B/HLA-C/HLA-E/HLA-DPA1/HLA-DQA1/HLA-DQB1/HLA-DRA/HLA-DRB1/HLA-DRB5/CD74",11
"GO:0070372","GO:0070372","regulation of ERK1 and ERK2 cascade","17/72","315/18903",2.27041563913406e-15,1.69209032216574e-13,7.82695917701478e-14,"IGF1/CCL7/IL1A/IL1B/LGALS9/FN1/APP/ICAM1/HLA-DRB1/EGFR/CD44/CD36/CD74/EPHA2/CD4/NOTCH1/NOTCH2",17
"GO:0018108","GO:0018108","peptidyl-tyrosine phosphorylation","18/72","380/18903",2.96505630751671e-15,2.15006650623441e-13,9.9453809006037e-14,"EGF/IGF1/IL7/KITLG/APP/EFNA1/EFNA5/ITGB2/EGFR/CD44/KIT/CD36/CD74/CD40/EPHA2/EPHA3/EPHB4/CD4",18
"GO:0018212","GO:0018212","peptidyl-tyrosine modification","18/72","382/18903",3.2480331023217e-15,2.29328231934977e-13,1.06078421818207e-13,"EGF/IGF1/IL7/KITLG/APP/EFNA1/EFNA5/ITGB2/EGFR/CD44/KIT/CD36/CD74/CD40/EPHA2/EPHA3/EPHB4/CD4",18
"GO:1903131","GO:1903131","mononuclear cell differentiation","19/72","473/18903",8.96253375521019e-15,6.16576360646896e-13,2.85204515449199e-13,"IL7/IL10/IL1A/IL1B/TNFSF4/CD40LG/LGALS9/HLA-B/HLA-DRA/HLA-DRB1/FZD7/FZD8/CCR2/CD27/KIT/CD74/CD8A/CD4/NOTCH2",19
"GO:0002456","GO:0002456","T cell mediated immunity","12/72","113/18903",1.30272490512088e-14,8.73802730109832e-13,4.04187542930927e-13,"IL1B/CD70/TNFSF4/ICAM1/HLA-A/HLA-B/HLA-E/HLA-DRA/HLA-DRB1/JAG1/CCR2/CD8A",12
"GO:0002703","GO:0002703","regulation of leukocyte mediated immunity","15/72","241/18903",1.49638861149806e-14,9.79222108451046e-13,4.52950493698642e-13,"IL10/IL1B/TNFSF4/LGALS9/ICAM1/ITGB2/HLA-A/HLA-B/HLA-E/HLA-DRA/HLA-DRB1/CCR2/KIT/CD40/KLRK1",15
"GO:0030098","GO:0030098","lymphocyte differentiation","18/72","419/18903",1.60639503439306e-14,1.02618044697061e-12,4.7467161542592e-13,"IL7/IL10/IL1A/IL1B/TNFSF4/CD40LG/LGALS9/HLA-DRA/HLA-DRB1/FZD7/FZD8/CCR2/CD27/KIT/CD74/CD8A/CD4/NOTCH2",18
"GO:0002478","GO:0002478","antigen processing and presentation of exogenous peptide antigen","9/72","40/18903",2.50147530992764e-14,1.56080424570601e-12,7.21968027026851e-13,"HLA-A/HLA-E/HLA-DPA1/HLA-DQA1/HLA-DQB1/HLA-DRA/HLA-DRB1/HLA-DRB5/CD74",9
"GO:0050730","GO:0050730","regulation of peptidyl-tyrosine phosphorylation","15/72","266/18903",6.38945715490132e-14,3.89611671513642e-12,1.80219377646618e-12,"EGF/IGF1/IL7/KITLG/APP/EFNA1/EFNA5/ITGB2/EGFR/CD44/KIT/CD36/CD74/CD40/CD4",15
"GO:0019724","GO:0019724","B cell mediated immunity","14/72","218/18903",8.01867254260676e-14,4.78091076262532e-12,2.21146548017155e-12,"IL10/CD70/TNFSF4/CD40LG/HLA-E/HLA-DPA1/HLA-DQA1/HLA-DQB1/HLA-DRA/HLA-DRB1/HLA-DRB5/CD27/CD74/CD40",14
"GO:0070374","GO:0070374","positive regulation of ERK1 and ERK2 cascade","14/72","223/18903",1.09632506293436e-13,6.39443509533238e-12,2.9578197922188e-12,"IGF1/CCL7/IL1A/LGALS9/APP/ICAM1/HLA-DRB1/EGFR/CD44/CD36/CD74/CD4/NOTCH1/NOTCH2",14
"GO:0019884","GO:0019884","antigen processing and presentation of exogenous antigen","9/72","49/18903",1.82927181997941e-13,1.0442417644691e-11,4.83026086395458e-12,"HLA-A/HLA-E/HLA-DPA1/HLA-DQA1/HLA-DQB1/HLA-DRA/HLA-DRB1/HLA-DRB5/CD74",9
"GO:0002381","GO:0002381","immunoglobulin production involved in immunoglobulin-mediated immune response","10/72","74/18903",1.9865117496082e-13,1.11037729670809e-11,5.136178405237e-12,"IL10/TNFSF4/CD40LG/HLA-DPA1/HLA-DQA1/HLA-DQB1/HLA-DRA/HLA-DRB1/HLA-DRB5/CD40",10
"GO:0002700","GO:0002700","regulation of production of molecular mediator of immune response","13/72","187/18903",2.43257641579403e-13,1.33195969868885e-11,6.16113339252665e-12,"TGFB2/IL10/IL1B/TNFSF4/CD40LG/HLA-A/HLA-E/CCR2/TNFRSF4/KIT/CD36/CD74/CD40",13
"GO:0030217","GO:0030217","T cell differentiation","15/72","296/18903",3.03614826451395e-13,1.62919715873819e-11,7.53603958707779e-12,"IL7/IL1A/IL1B/TNFSF4/LGALS9/HLA-DRA/HLA-DRB1/FZD7/FZD8/CCR2/CD27/KIT/CD74/CD8A/CD4",15
"GO:0002504","GO:0002504","antigen processing and presentation of peptide or polysaccharide antigen via MHC class II","8/72","36/18903",8.24476580631949e-13,4.33739346242259e-11,2.00631143150685e-11,"THBS1/HLA-DPA1/HLA-DQA1/HLA-DQB1/HLA-DRA/HLA-DRB1/HLA-DRB5/CD74",8
"GO:0016064","GO:0016064","immunoglobulin mediated immune response","13/72","215/18903",1.45513629785656e-12,7.507943629133e-11,3.47288602261718e-11,"IL10/TNFSF4/CD40LG/HLA-E/HLA-DPA1/HLA-DQA1/HLA-DQB1/HLA-DRA/HLA-DRB1/HLA-DRB5/CD27/CD74/CD40",13
"GO:0002706","GO:0002706","regulation of lymphocyte mediated immunity","12/72","179/18903",3.36273462054989e-12,1.7023050918746e-10,7.87420877383977e-11,"IL10/IL1B/TNFSF4/LGALS9/HLA-A/HLA-B/HLA-E/HLA-DRA/HLA-DRB1/CCR2/CD40/KLRK1",12
"GO:0045860","GO:0045860","positive regulation of protein kinase activity","16/72","420/18903",3.50622110813061e-12,1.74207245057675e-10,8.05815728359843e-11,"TGFB2/WNT11/EGF/IGF1/IL1B/CD40LG/KITLG/THBS1/EFNA1/EFNA5/FZD4/FZD8/EGFR/KIT/CD40/CD4",16
"GO:0002705","GO:0002705","positive regulation of leukocyte mediated immunity","11/72","140/18903",5.07879291989708e-12,2.47752752801525e-10,1.14600896699687e-10,"IL1B/TNFSF4/ITGB2/HLA-A/HLA-B/HLA-E/HLA-DRA/HLA-DRB1/KIT/CD40/KLRK1",11
"GO:0019883","GO:0019883","antigen processing and presentation of endogenous antigen","7/72","26/18903",5.35369009760616e-12,2.55698726559597e-10,1.18276398616539e-10,"HLA-A/HLA-B/HLA-C/HLA-E/HLA-DRA/HLA-DRB1/CD74",7
"GO:0002263","GO:0002263","cell activation involved in immune response","14/72","297/18903",5.43228751915654e-12,2.55698726559597e-10,1.18276398616539e-10,"IL10/TNFSF4/CD40LG/LGALS9/APP/ICAM1/ITGB2/HLA-DRA/HLA-DRB1/CCR2/KIT/CD74/CD40/NOTCH2",14
"GO:0050731","GO:0050731","positive regulation of peptidyl-tyrosine phosphorylation","12/72","193/18903",8.19057240087243e-12,3.78884581923116e-10,1.75257438486907e-10,"EGF/IGF1/KITLG/EFNA1/EFNA5/EGFR/CD44/KIT/CD36/CD74/CD40/CD4",12
"GO:0019886","GO:0019886","antigen processing and presentation of exogenous peptide antigen via MHC class II","7/72","30/18903",1.63703509372902e-11,7.44434772283889e-10,3.44346900179573e-10,"HLA-DPA1/HLA-DQA1/HLA-DQB1/HLA-DRA/HLA-DRB1/HLA-DRB5/CD74",7
"GO:0002824","GO:0002824","positive regulation of adaptive immune response based on somatic recombination of immune receptors built from immunoglobulin superfamily domains","10/72","114/18903",1.66955573149928e-11,7.46569671268761e-10,3.45334422357482e-10,"IL1B/TNFSF4/HLA-A/HLA-B/HLA-E/HLA-DRA/HLA-DRB1/CCR2/CD40/CD4",10
"GO:0002399","GO:0002399","MHC class II protein complex assembly","6/72","16/18903",1.91772404943417e-11,8.29879616876109e-10,3.8387039970847e-10,"HLA-DPA1/HLA-DQA1/HLA-DQB1/HLA-DRA/HLA-DRB1/HLA-DRB5",6
"GO:0002503","GO:0002503","peptide antigen assembly with MHC class II protein complex","6/72","16/18903",1.91772404943417e-11,8.29879616876109e-10,3.8387039970847e-10,"HLA-DPA1/HLA-DQA1/HLA-DQB1/HLA-DRA/HLA-DRB1/HLA-DRB5",6
"GO:0050900","GO:0050900","leukocyte migration","15/72","398/18903",2.11218905379612e-11,8.99524322434125e-10,4.1608536247713e-10,"TGFB2/CCL7/IL10/IL1A/IL1B/KITLG/LGALS9/THBS1/APP/ICAM1/ITGB2/CCR2/KIT/CD74/KLRK1",15
"GO:0002718","GO:0002718","regulation of cytokine production involved in immune response","10/72","118/18903",2.3622131175275e-11,9.90284030363482e-10,4.58067313415283e-10,"TGFB2/IL10/IL1B/TNFSF4/HLA-A/HLA-E/CCR2/KIT/CD36/CD74",10
"GO:0002367","GO:0002367","cytokine production involved in immune response","10/72","120/18903",2.79657522279343e-11,1.13685020041739e-09,5.25863187826707e-10,"TGFB2/IL10/IL1B/TNFSF4/HLA-A/HLA-E/CCR2/KIT/CD36/CD74",10
"GO:0002821","GO:0002821","positive regulation of adaptive immune response","10/72","120/18903",2.79657522279343e-11,1.13685020041739e-09,5.25863187826707e-10,"IL1B/TNFSF4/HLA-A/HLA-B/HLA-E/HLA-DRA/HLA-DRB1/CCR2/CD40/CD4",10
"GO:0002377","GO:0002377","immunoglobulin production","12/72","219/18903",3.60514757634508e-11,1.44367327572147e-09,6.67787744306496e-10,"IL10/TNFSF4/CD40LG/HLA-E/HLA-DPA1/HLA-DQA1/HLA-DQB1/HLA-DRA/HLA-DRB1/HLA-DRB5/TNFRSF4/CD40",12
"GO:0002495","GO:0002495","antigen processing and presentation of peptide antigen via MHC class II","7/72","34/18903",4.27403142301433e-11,1.68635680999227e-09,7.80043815438684e-10,"HLA-DPA1/HLA-DQA1/HLA-DQB1/HLA-DRA/HLA-DRB1/HLA-DRB5/CD74",7
"GO:0002483","GO:0002483","antigen processing and presentation of endogenous peptide antigen","6/72","19/18903",6.43929486429287e-11,2.5038591479562e-09,1.15818896186137e-09,"HLA-A/HLA-B/HLA-C/HLA-E/HLA-DRA/HLA-DRB1",6
"GO:0002366","GO:0002366","leukocyte activation involved in immune response","13/72","293/18903",7.15647925615707e-11,2.74297626346706e-09,1.26879534481341e-09,"IL10/TNFSF4/CD40LG/LGALS9/ICAM1/ITGB2/HLA-DRA/HLA-DRB1/CCR2/KIT/CD74/CD40/NOTCH2",13
"GO:0002702","GO:0002702","positive regulation of production of molecular mediator of immune response","10/72","133/18903",7.81957220634365e-11,2.95491721543944e-09,1.36683107950766e-09,"IL10/IL1B/TNFSF4/HLA-A/HLA-E/TNFRSF4/KIT/CD36/CD74/CD40",10
"GO:0002822","GO:0002822","regulation of adaptive immune response based on somatic recombination of immune receptors built from immunoglobulin superfamily domains","11/72","182/18903",8.83189337583047e-11,3.2911069343546e-09,1.52233951609709e-09,"IL10/IL1B/TNFSF4/HLA-A/HLA-B/HLA-E/HLA-DRA/HLA-DRB1/CCR2/CD40/CD4",11
"GO:0002396","GO:0002396","MHC protein complex assembly","6/72","20/18903",9.17145981672257e-11,3.32527387679279e-09,1.53814382986002e-09,"HLA-DPA1/HLA-DQA1/HLA-DQB1/HLA-DRA/HLA-DRB1/HLA-DRB5",6
"GO:0002501","GO:0002501","peptide antigen assembly with MHC protein complex","6/72","20/18903",9.17145981672257e-11,3.32527387679279e-09,1.53814382986002e-09,"HLA-DPA1/HLA-DQA1/HLA-DQB1/HLA-DRA/HLA-DRB1/HLA-DRB5",6
"GO:0032615","GO:0032615","interleukin-12 production","8/72","63/18903",9.72677697501013e-11,3.41733467797315e-09,1.58072761650562e-09,"IL10/TNFSF4/CD40LG/LGALS9/THBS1/HLA-B/CD36/CD40",8
"GO:0032655","GO:0032655","regulation of interleukin-12 production","8/72","63/18903",9.72677697501013e-11,3.41733467797315e-09,1.58072761650562e-09,"IL10/TNFSF4/CD40LG/LGALS9/THBS1/HLA-B/CD36/CD40",8
"GO:1902107","GO:1902107","positive regulation of leukocyte differentiation","11/72","184/18903",9.93485295869942e-11,3.41733467797315e-09,1.58072761650562e-09,"IL7/IL10/TNFSF4/KITLG/LGALS9/HLA-DRA/HLA-DRB1/CD27/CD74/CD4/NOTCH2",11
"GO:1903708","GO:1903708","positive regulation of hemopoiesis","11/72","184/18903",9.93485295869942e-11,3.41733467797315e-09,1.58072761650562e-09,"IL7/IL10/TNFSF4/KITLG/LGALS9/HLA-DRA/HLA-DRB1/CD27/CD74/CD4/NOTCH2",11
"GO:0007162","GO:0007162","negative regulation of cell adhesion","13/72","308/18903",1.32821018495707e-10,4.51087079270864e-09,2.08655537383663e-09,"IL10/TNFSF4/LGALS9/COL1A1/THBS1/CDH1/EFNA5/HLA-DRB1/JAG1/FZD4/FZD7/CD74/NOTCH1",13
"GO:0048762","GO:0048762","mesenchymal cell differentiation","12/72","252/18903",1.83549044622701e-10,6.15577608403382e-09,2.84742531066005e-09,"TGFB2/WNT11/IGF1/IL1B/KITLG/FN1/COL1A1/EFNA1/EFNB1/JAG1/EPHA3/NOTCH1",12
"GO:1902105","GO:1902105","regulation of leukocyte differentiation","13/72","317/18903",1.8950427152407e-10,6.27703654937135e-09,2.90351573914072e-09,"IL7/IL10/TNFSF4/KITLG/LGALS9/HLA-B/HLA-DRA/HLA-DRB1/CCR2/CD27/CD74/CD4/NOTCH2",13
