"source","target","ligand","receptor","prob","pval","interaction_name","interaction_name_2","pathway_name","annotation","evidence"
"Malignant","Malignant","COL9A2","ITGAV_ITGB8",0.000352510081681273,0,"COL9A2_ITGAV_ITGB8","COL9A2 - (ITGAV+ITGB8)","COLLAGEN","ECM-Receptor","KEGG: hsa04512"
"CAF","Malignant","FN1","CD44",0.00100150225338007,0,"FN1_CD44","FN1 - CD44","FN1","ECM-Receptor","KEGG: hsa04512"
"CAF","Malignant","COL1A1","CD44",0.00717672018648995,0,"COL1A1_CD44","COL1A1 - CD44","COLLAGEN","ECM-Receptor","KEGG: hsa04512"
"CAF","Malignant","COL1A2","CD44",0.0017250233734083,0,"COL1A2_CD44","COL1A2 - CD44","COLLAGEN","ECM-Receptor","KEGG: hsa04512"
"CAF","Malignant","COL4A2","CD44",0.00063276121173772,0,"COL4A2_CD44","COL4A2 - CD44","COLLAGEN","ECM-Receptor","KEGG: hsa04512"
"Malignant","Malignant","COL6A1","CD44",0.000559299756704606,0,"COL6A1_CD44","COL6A1 - CD44","COLLAGEN","ECM-Receptor","KEGG: hsa04512"
"CAF","Malignant","COL6A3","CD44",0.000329663084327817,0,"COL6A3_CD44","COL6A3 - CD44","COLLAGEN","ECM-Receptor","KEGG: hsa04512"
"CAF","Malignant","COL9A2","CD44",0.00011870375499545,0,"COL9A2_CD44","COL9A2 - CD44","COLLAGEN","ECM-Receptor","KEGG: hsa04512"
"Malignant","Malignant","COL9A2","CD44",0.000475444680613044,0,"COL9A2_CD44","COL9A2 - CD44","COLLAGEN","ECM-Receptor","KEGG: hsa04512"
"CAF","Malignant","THBS1","CD36",2.57814940435755e-05,0,"THBS1_CD36","THBS1 - CD36","THBS","ECM-Receptor","KEGG: hsa04512"
"Malignant","Malignant","THBS1","CD36",5.08736273659416e-06,0.01,"THBS1_CD36","THBS1 - CD36","THBS","ECM-Receptor","KEGG: hsa04512"
"CAF","Malignant","THBS2","CD36",2.21841560757307e-05,0,"THBS2_CD36","THBS2 - CD36","THBS","ECM-Receptor","KEGG: hsa04512"
"Malignant","Malignant","THBS2","CD36",2.54368783862844e-06,0.01,"THBS2_CD36","THBS2 - CD36","THBS","ECM-Receptor","KEGG: hsa04512"
"CAF","Malignant","APP","CD74",0.000143879716556958,0,"APP_CD74","APP - CD74","APP","Cell-Cell Contact","PMID: 19849849"
"Malignant","Malignant","APP","CD74",0.000914892157086983,0,"APP_CD74","APP - CD74","APP","Cell-Cell Contact","PMID: 19849849"
"Malignant","Malignant","CD40LG","CD40",7.63102469399591e-06,0,"CD40LG_CD40","CD40LG - CD40","CD40","Cell-Cell Contact","KEGG: hsa04514"
"Malignant","Malignant","CDH1","CDH1",0.000214895978902047,0,"CDH1_CDH1","CDH1 - CDH1","CDH","Cell-Cell Contact","KEGG: hsa04514"
"Malignant","Malignant","CDH5","CDH5",5.08736273659416e-06,0,"CDH5_CDH5","CDH5 - CDH5","CDH5","Cell-Cell Contact","KEGG: hsa04514"
"Malignant","Malignant","EFNA1","EPHA2",8.13915927571656e-05,0,"EFNA1_EPHA2","EFNA1 - EPHA2","EPHA","Cell-Cell Contact","PMID: 15114347"
"Malignant","Malignant","EFNA1","EPHA3",1.01746737109324e-05,0,"EFNA1_EPHA3","EFNA1 - EPHA3","EPHA","Cell-Cell Contact","PMID: 15114347"
"Malignant","Malignant","EFNA5","EPHA2",2.03491403760012e-05,0,"EFNA5_EPHA2","EFNA5 - EPHA2","EPHA","Cell-Cell Contact","PMID: 15114347"
"Malignant","Malignant","EFNA5","EPHA3",2.54368783862844e-06,0,"EFNA5_EPHA3","EFNA5 - EPHA3","EPHA","Cell-Cell Contact","PMID: 15114347"
"Malignant","Malignant","EFNB1","EPHB4",5.08712981592221e-05,0,"EFNB1_EPHB4","EFNB1 - EPHB4","EPHB","Cell-Cell Contact","PMID: 15114347"
"Malignant","Malignant","EFNB2","EPHB4",2.54362960683117e-05,0,"EFNB2_EPHB4","EFNB2 - EPHB4","EPHB","Cell-Cell Contact","PMID: 15114347"
"Malignant","Malignant","ICAM1","ITGAM_ITGB2",9.09976928885e-05,0,"ICAM1_ITGAM_ITGB2","ICAM1 - (ITGAM+ITGB2)","ICAM","Cell-Cell Contact","KEGG: hsa04514"
"Malignant","Malignant","ICAM2","ITGAM_ITGB2",3.41260757045353e-05,0,"ICAM2_ITGAM_ITGB2","ICAM2 - (ITGAM+ITGB2)","ICAM","Cell-Cell Contact","KEGG: hsa04514"
"Malignant","Malignant","ICOSLG","ICOS",2.28927246920929e-05,0,"ICOSL_ICOS","ICOSL - ICOS","ICOS","Cell-Cell Contact","PMID: 23954143"
"Malignant","Malignant","ITGB2","ICAM1",8.13915927571656e-05,0,"ITGB2_ICAM1","ITGB2 - ICAM1","ITGB2","Cell-Cell Contact","KEGG: hsa04514"
"Malignant","Malignant","ITGB2","ICAM2",3.05234000015262e-05,0,"ITGB2_ICAM2","ITGB2 - ICAM2","ITGB2","Cell-Cell Contact","KEGG: hsa04514"
"CAF","Malignant","HLA-A","CD8A",7.01465343115477e-05,0.01,"HLA-A_CD8A","HLA-A - CD8A","MHC-I","Cell-Cell Contact","KEGG: hsa04514"
"Malignant","Malignant","HLA-A","CD8A",0.000267016585544485,0,"HLA-A_CD8A","HLA-A - CD8A","MHC-I","Cell-Cell Contact","KEGG: hsa04514"
"CAF","Malignant","HLA-B","CD8A",3.59738110655443e-05,0.03,"HLA-B_CD8A","HLA-B - CD8A","MHC-I","Cell-Cell Contact","KEGG: hsa04514"
"Malignant","Malignant","HLA-B","CD8A",0.000328028927574264,0,"HLA-B_CD8A","HLA-B - CD8A","MHC-I","Cell-Cell Contact","KEGG: hsa04514"
"CAF","Malignant","HLA-C","CD8A",4.67654496857722e-05,0.01,"HLA-C_CD8A","HLA-C - CD8A","MHC-I","Cell-Cell Contact","KEGG: hsa04514"
"Malignant","Malignant","HLA-C","CD8A",0.000335654946714777,0,"HLA-C_CD8A","HLA-C - CD8A","MHC-I","Cell-Cell Contact","KEGG: hsa04514"
"Malignant","Malignant","HLA-E","CD8A",4.19691946111554e-05,0,"HLA-E_CD8A","HLA-E - CD8A","MHC-I","Cell-Cell Contact","KEGG: hsa04514"
"CAF","Malignant","HLA-A","CD8B",7.01465343115477e-05,0.02,"HLA-A_CD8B","HLA-A - CD8B","MHC-I","Cell-Cell Contact","KEGG: hsa04514"
"Malignant","Malignant","HLA-A","CD8B",0.000267016585544485,0,"HLA-A_CD8B","HLA-A - CD8B","MHC-I","Cell-Cell Contact","KEGG: hsa04514"
"CAF","Malignant","HLA-B","CD8B",3.59738110655443e-05,0.03,"HLA-B_CD8B","HLA-B - CD8B","MHC-I","Cell-Cell Contact","KEGG: hsa04514"
"Malignant","Malignant","HLA-B","CD8B",0.000328028927574264,0,"HLA-B_CD8B","HLA-B - CD8B","MHC-I","Cell-Cell Contact","KEGG: hsa04514"
"CAF","Malignant","HLA-C","CD8B",4.67654496857722e-05,0.02,"HLA-C_CD8B","HLA-C - CD8B","MHC-I","Cell-Cell Contact","KEGG: hsa04514"
"Malignant","Malignant","HLA-C","CD8B",0.000335654946714777,0,"HLA-C_CD8B","HLA-C - CD8B","MHC-I","Cell-Cell Contact","KEGG: hsa04514"
"Malignant","Malignant","HLA-E","CD8B",4.19691946111554e-05,0,"HLA-E_CD8B","HLA-E - CD8B","MHC-I","Cell-Cell Contact","KEGG: hsa04514"
"Malignant","Malignant","HLA-E","KLRK1",6.9946700614132e-05,0,"HLA-E_KLRK1","HLA-E - KLRK1","MHC-I","Cell-Cell Contact","PMID: 28484462"
"Malignant","Malignant","HLA-DPA1","CD4",1.27183097875025e-05,0,"HLA-DPA1_CD4","HLA-DPA1 - CD4","MHC-II","Cell-Cell Contact","KEGG: hsa04514"
"Malignant","Malignant","HLA-DQA1","CD4",2.28927246920929e-05,0,"HLA-DQA1_CD4","HLA-DQA1 - CD4","MHC-II","Cell-Cell Contact","KEGG: hsa04514"
"Malignant","Malignant","HLA-DQB1","CD4",2.28927246920929e-05,0,"HLA-DQB1_CD4","HLA-DQB1 - CD4","MHC-II","Cell-Cell Contact","KEGG: hsa04514"
"Malignant","Malignant","HLA-DRA","CD4",1.78055431199381e-05,0,"HLA-DRA_CD4","HLA-DRA - CD4","MHC-II","Cell-Cell Contact","KEGG: hsa04514"
"Malignant","Malignant","HLA-DRB1","CD4",4.06974525938267e-05,0,"HLA-DRB1_CD4","HLA-DRB1 - CD4","MHC-II","Cell-Cell Contact","KEGG: hsa04514"
"Malignant","Malignant","HLA-DRB5","CD4",4.57844012544926e-05,0,"HLA-DRB5_CD4","HLA-DRB5 - CD4","MHC-II","Cell-Cell Contact","KEGG: hsa04514"
"Malignant","Malignant","JAG1","NOTCH1",8.90213753039444e-05,0,"JAG1_NOTCH1","JAG1 - NOTCH1","NOTCH","Cell-Cell Contact","PMID: 22353464"
"Malignant","Malignant","JAG1","NOTCH2",2.54362960683117e-05,0,"JAG1_NOTCH2","JAG1 - NOTCH2","NOTCH","Cell-Cell Contact","PMID: 22353464"
"Malignant","Malignant","JAG1","NOTCH3",5.08712981592221e-05,0,"JAG1_NOTCH3","JAG1 - NOTCH3","NOTCH","Cell-Cell Contact","PMID: 22353464"
